n_templates,desc_EMPTY,desc_ACTIVE_PLAY,desc_MAINTENANCE_NON_SPORTING,play_recall,worst_fold,false_play,balanced
1,an empty football pitch with nobody on it,people playing football on a pitch,maintenance machinery on an artificial turf field,0.9883,0.918,0.0,0.9883
5,an empty football pitch with nobody on it,footballers running on an artificial turf pitch,maintenance machinery on an artificial turf field,1.0,1.0,0.0256,0.9744
1,an empty football pitch with nobody on it,footballers running on an artificial turf pitch,workers in high-visibility vests on a sports field,0.9714,0.8,0.0,0.9714
1,an empty football pitch with nobody on it,footballers running on an artificial turf pitch,maintenance machinery on an artificial turf field,0.9714,0.8,0.0,0.9714
3,an empty football pitch with nobody on it,footballers running on an artificial turf pitch,maintenance machinery on an artificial turf field,1.0,1.0,0.0308,0.9692
1,a vacant football field with no players,several people playing soccer on a floodlit pitch,workers in high-visibility vests on a sports field,1.0,1.0,0.0359,0.9641
1,a vacant football field with no players,several people playing soccer on a floodlit pitch,maintenance machinery on an artificial turf field,0.9859,0.9016,0.0256,0.9603
5,an empty football pitch with nobody on it,footballers running on an artificial turf pitch,workers in high-visibility vests on a sports field,1.0,1.0,0.041,0.959
1,an unused artificial turf field,people playing football on a pitch,workers in high-visibility vests on a sports field,0.9836,0.8852,0.0256,0.958
1,an unused artificial turf field,people playing football on a pitch,maintenance machinery on an artificial turf field,0.9836,0.8852,0.0256,0.958
1,an unused artificial turf field,footballers running on an artificial turf pitch,workers in high-visibility vests on a sports field,0.9977,0.9836,0.041,0.9566
1,an unused artificial turf field,footballers running on an artificial turf pitch,maintenance machinery on an artificial turf field,0.9977,0.9836,0.041,0.9566
1,an empty green sports field at night,several people playing soccer on a floodlit pitch,maintenance machinery on an artificial turf field,0.9813,0.8689,0.0256,0.9556
5,a vacant football field with no players,several people playing soccer on a floodlit pitch,maintenance machinery on an artificial turf field,0.9813,0.8689,0.0256,0.9556
3,an unused artificial turf field,people playing football on a pitch,workers in high-visibility vests on a sports field,0.9859,0.9016,0.0308,0.9552
3,an unused artificial turf field,people playing football on a pitch,maintenance machinery on an artificial turf field,0.9859,0.9016,0.0308,0.9552
3,a vacant football field with no players,several people playing soccer on a floodlit pitch,maintenance machinery on an artificial turf field,0.9789,0.8525,0.0256,0.9533
5,an empty green sports field at night,several people playing soccer on a floodlit pitch,maintenance machinery on an artificial turf field,0.9789,0.8525,0.0256,0.9533
3,an empty green sports field at night,several people playing soccer on a floodlit pitch,maintenance machinery on an artificial turf field,0.9766,0.8361,0.0256,0.9509
3,an unused artificial turf field,footballers running on an artificial turf pitch,workers in high-visibility vests on a sports field,0.9953,0.9672,0.0462,0.9492
3,an unused artificial turf field,footballers running on an artificial turf pitch,maintenance machinery on an artificial turf field,0.9953,0.9672,0.0462,0.9492
3,a vacant football field with no players,several people playing soccer on a floodlit pitch,workers in high-visibility vests on a sports field,0.9724,0.8889,0.0256,0.9468
5,a vacant football field with no players,several people playing soccer on a floodlit pitch,workers in high-visibility vests on a sports field,0.9748,0.8889,0.0308,0.944
5,an unused artificial turf field,people playing football on a pitch,workers in high-visibility vests on a sports field,0.9883,0.918,0.0462,0.9421
5,an unused artificial turf field,people playing football on a pitch,maintenance machinery on an artificial turf field,0.9883,0.918,0.0462,0.9421
3,an unused artificial turf field,people playing football on a pitch,groundstaff maintaining a football pitch,0.9679,0.8525,0.0308,0.9372
1,an empty green sports field at night,people playing football on a pitch,maintenance machinery on an artificial turf field,0.9859,0.9016,0.0513,0.9347
1,an empty football pitch with nobody on it,people playing football on a pitch,workers in high-visibility vests on a sports field,0.9906,0.9344,0.0564,0.9342
1,an empty football pitch with nobody on it,several people playing soccer on a floodlit pitch,workers in high-visibility vests on a sports field,0.9574,0.8,0.0256,0.9317
5,an unused artificial turf field,people playing football on a pitch,groundstaff maintaining a football pitch,0.9726,0.8852,0.041,0.9316
1,an empty football pitch with nobody on it,several people playing soccer on a floodlit pitch,maintenance machinery on an artificial turf field,0.9527,0.8,0.0256,0.9271
5,an unused artificial turf field,footballers running on an artificial turf pitch,workers in high-visibility vests on a sports field,0.9977,0.9836,0.0718,0.9259
5,an unused artificial turf field,footballers running on an artificial turf pitch,maintenance machinery on an artificial turf field,0.9977,0.9836,0.0718,0.9259
3,an unused artificial turf field,footballers running on an artificial turf pitch,groundstaff maintaining a football pitch,0.9558,0.8,0.0308,0.925
1,an unused artificial turf field,several people playing soccer on a floodlit pitch,workers in high-visibility vests on a sports field,0.9504,0.8,0.0256,0.9247
1,an unused artificial turf field,several people playing soccer on a floodlit pitch,maintenance machinery on an artificial turf field,0.9504,0.8,0.0256,0.9247
5,an empty football pitch with nobody on it,several people playing soccer on a floodlit pitch,maintenance machinery on an artificial turf field,0.9504,0.8,0.0256,0.9247
3,an empty football pitch with nobody on it,several people playing soccer on a floodlit pitch,maintenance machinery on an artificial turf field,0.948,0.8,0.0256,0.9224
1,a vacant football field with no players,people playing football on a pitch,maintenance machinery on an artificial turf field,0.993,0.9508,0.0718,0.9212
5,an empty football pitch with nobody on it,footballers running on an artificial turf pitch,groundstaff maintaining a football pitch,0.9604,0.8,0.041,0.9194
5,an unused artificial turf field,several people playing soccer on a floodlit pitch,maintenance machinery on an artificial turf field,0.941,0.7869,0.0256,0.9153
5,an empty football pitch with nobody on it,several people playing soccer on a floodlit pitch,workers in high-visibility vests on a sports field,0.9368,0.8,0.0256,0.9112
3,an empty football pitch with nobody on it,several people playing soccer on a floodlit pitch,workers in high-visibility vests on a sports field,0.9345,0.8,0.0256,0.9088
3,an unused artificial turf field,several people playing soccer on a floodlit pitch,maintenance machinery on an artificial turf field,0.9316,0.7213,0.0256,0.906
1,an unused artificial turf field,people playing football on a pitch,"a person standing on a pitch, not playing",0.9304,0.7692,0.0256,0.9048
