switch,label,value,stage,searched,file,mean_abs_change_255,share_pixels_changed,area_retained,hypothesis
letterbox,letterbox=False,False,resize,True,figs/preproc/letterbox_False.jpg,39.14,0.9805,1.0,Off means a squashing resize instead of aspect-preserving padding. Worth about 0.03 recall on this fisheye footage - so this row is what that 0.03 looks like.
per_image_standardise,per_image_standardise=True,True,photometric,True,figs/preproc/per_image_standardise_True.jpg,38.34,0.5625,1.0,"Z-score the frame, removing the global brightness offset that separates a daylight morning from a floodlit night - i.e. it attacks the day/night confound head-on."
top_crop,top_crop=0.35,0.35,geometry,True,figs/preproc/top_crop_0p35.jpg,21.44,0.56,0.65,"More targeted than a symmetric crop: sky, stands and adjacent pitches sit above the horizon, while the pitch does not."
top_crop,top_crop=0.2,0.2,geometry,True,figs/preproc/top_crop_0p2.jpg,17.62,0.556,0.8,"More targeted than a symmetric crop: sky, stands and adjacent pitches sit above the horizon, while the pitch does not."
centre_crop,centre_crop=0.5,0.5,geometry,True,figs/preproc/centre_crop_0p5.jpg,16.09,0.5569,0.25,"The border carries stands, sky and adjacent pitches, none of which transfer. Keep only the middle."
clahe,clahe=on,on,photometric,True,figs/preproc/clahe_on.jpg,16.09,0.5488,1.0,"Local contrast equalisation. `auto` gates on RMS contrast below 40, which on this footage fires for 78% of frames - a weak switch, not a vacuous one."
clahe,clahe=auto,auto,photometric,True,figs/preproc/clahe_auto.jpg,16.09,0.5488,1.0,"Local contrast equalisation. `auto` gates on RMS contrast below 40, which on this footage fires for 78% of frames - a weak switch, not a vacuous one."
centre_crop,centre_crop=0.7,0.7,geometry,True,figs/preproc/centre_crop_0p7.jpg,14.86,0.5522,0.49,"The border carries stands, sky and adjacent pitches, none of which transfer. Keep only the middle."
gamma,gamma=0.7,0.7,photometric,True,figs/preproc/gamma_0p7.jpg,14.61,0.5625,1.0,"Below 1 brightens, above 1 darkens. Night frames are dark; a lift may expose players the backbone would otherwise miss."
saturation,saturation=0.0,0.0,photometric,True,figs/preproc/saturation_0p0.jpg,14.43,0.5545,1.0,"Scale colour. 0.0 is grayscale, which helped alone (+0.022 recall) and broke when combined with cropping - so this is a dial, not a switch."
gamma,gamma=1.4,1.4,photometric,True,figs/preproc/gamma_1p4.jpg,12.16,0.5625,1.0,"Below 1 brightens, above 1 darkens. Night frames are dark; a lift may expose players the backbone would otherwise miss."
saturation,saturation=0.5,0.5,photometric,True,figs/preproc/saturation_0p5.jpg,9.21,0.5474,1.0,"Scale colour. 0.0 is grayscale, which helped alone (+0.022 recall) and broke when combined with cropping - so this is a dial, not a switch."
undistort,undistort=0.3,0.3,geometry,True,figs/preproc/undistort_0p3.jpg,7.6,0.438,1.0,"The footage is fisheye and the lens differs per venue, so geometry is itself a venue cue. Straightening it should make a pitch look more like a pitch and less like *that* pitch."
blur_sigma,blur_sigma=4.0,4.0,post-resize,False,figs/preproc/blur_sigma_4p0.jpg,7.55,0.5966,1.0,"A diagnostic, not a setting. It removes the detail that people are made of, so a score that survives it was never about people."
undistort,undistort=0.15,0.15,geometry,True,figs/preproc/undistort_0p15.jpg,5.39,0.3908,1.0,"The footage is fisheye and the lens differs per venue, so geometry is itself a venue cue. Straightening it should make a pitch look more like a pitch and less like *that* pitch."
sharpen,sharpen=0.6,0.6,post-resize,True,figs/preproc/sharpen_0p6.jpg,3.04,0.4247,1.0,"Unsharp mask, countering the fisheye softness at the frame edge."
denoise,denoise=25.0,25.0,photometric,True,figs/preproc/denoise_25p0.jpg,0.73,0.1519,1.0,Bilateral filter. Night footage is noisy; smoothing noise while keeping edges may help where a plain blur hurts.
